episode,env_steps,dt_sec,loss_mean,epsilon,buffer_size,ep_return,ep_length,train_updates,eval_det_mean,eval_det_std,eval_sto_mean,eval_sto_std,best_eval_det
0,22,0.0010178089141845703,nan,0.999,22,22.0,22,0,9.35,0.6538348415311012,17.95,8.823123029857399,9.35
1,51,0.0012409687042236328,nan,0.998001,51,29.0,29,0,nan,nan,nan,nan,9.35
2,69,0.0006291866302490234,nan,0.997002999,69,18.0,18,0,nan,nan,nan,nan,9.35
3,110,0.0017337799072265625,nan,0.996005996001,110,41.0,41,0,nan,nan,nan,nan,9.35
4,129,0.0007815361022949219,nan,0.995009990004999,129,19.0,19,0,nan,nan,nan,nan,9.35
5,159,0.0010302066802978516,nan,0.994014980014994,159,30.0,30,0,nan,nan,nan,nan,9.35
6,180,0.0013318061828613281,nan,0.993020965034979,180,21.0,21,0,nan,nan,nan,nan,9.35
7,192,0.0004000663757324219,nan,0.9920279440699441,192,12.0,12,0,nan,nan,nan,nan,9.35
8,208,0.0005609989166259766,nan,0.9910359161258742,208,16.0,16,0,nan,nan,nan,nan,9.35
9,251,0.0015223026275634766,nan,0.9900448802097482,251,43.0,43,0,nan,nan,nan,nan,9.35
10,263,0.0004253387451171875,nan,0.9890548353295385,263,12.0,12,0,nan,nan,nan,nan,9.35
11,281,0.0005652904510498047,nan,0.988065780494209,281,18.0,18,0,nan,nan,nan,nan,9.35
12,313,0.0009920597076416016,nan,0.9870777147137147,313,32.0,32,0,nan,nan,nan,nan,9.35
13,362,0.00189971923828125,nan,0.986090636999001,362,49.0,49,0,nan,nan,nan,nan,9.35
14,373,0.00037550926208496094,nan,0.9851045463620021,373,11.0,11,0,nan,nan,nan,nan,9.35
15,385,0.00040435791015625,nan,0.98411944181564,385,12.0,12,0,nan,nan,nan,nan,9.35
16,397,0.0006077289581298828,nan,0.9831353223738244,397,12.0,12,0,nan,nan,nan,nan,9.35
17,409,0.00041794776916503906,nan,0.9821521870514506,409,12.0,12,0,nan,nan,nan,nan,9.35
18,422,0.0004336833953857422,nan,0.9811700348643991,422,13.0,13,0,nan,nan,nan,nan,9.35
19,454,0.0011811256408691406,nan,0.9801888648295347,454,32.0,32,0,nan,nan,nan,nan,9.35
20,500,0.0014188289642333984,nan,0.9792086759647052,500,46.0,46,0,nan,nan,nan,nan,9.35
21,531,0.0011339187622070312,nan,0.9782294672887405,531,31.0,31,0,nan,nan,nan,nan,9.35
22,550,0.0006196498870849609,nan,0.9772512378214517,550,19.0,19,0,nan,nan,nan,nan,9.35
