iteration,env_steps,dt_sec,lr,ent_coef,approx_kl,updates,rollout_ep_ret_mean,rollout_ep_ret_n,eval_det_mean,eval_det_std,eval_sto_mean,eval_sto_std,best_eval_det
0,2048,2.666386365890503,0.0003,0.01,0.005151667581230868,64,-196.34494018554688,16,-331.9435449968074,130.65335492728423,-157.94674072664105,96.7618269706038,-331.9435449968074
1,4096,2.5941734313964844,0.00029969999999999997,0.00999,0.0016503174701938406,64,-123.31775665283203,25,nan,nan,nan,nan,-331.9435449968074
2,6144,2.304050922393799,0.00029939999999999996,0.009980000000000001,0.001431003289326327,64,-106.58602142333984,20,nan,nan,nan,nan,-331.9435449968074
3,8192,2.17497181892395,0.00029909999999999995,0.00997,0.0012865222452091984,64,-121.71501159667969,19,nan,nan,nan,nan,-331.9435449968074
4,10240,2.2830867767333984,0.0002988,0.00996,0.0008242368166975211,64,-107.805419921875,20,nan,nan,nan,nan,-331.9435449968074
5,12288,2.2239222526550293,0.0002985,0.00995,0.002295219001098303,64,-116.6794662475586,19,nan,nan,nan,nan,-331.9435449968074
6,14336,2.404517650604248,0.0002982,0.009940000000000001,0.0011455189851403702,64,-123.86949920654297,21,nan,nan,nan,nan,-331.9435449968074
7,16384,2.399397373199463,0.0002979,0.00993,0.0025073537617572583,64,-93.50310516357422,18,nan,nan,nan,nan,-331.9435449968074
8,18432,2.4457931518554688,0.00029759999999999997,0.00992,0.000710898431862006,64,-74.75482940673828,16,nan,nan,nan,nan,-331.9435449968074
9,20480,4.078722238540649,0.00029729999999999996,0.00991,0.002637710866110865,64,-101.48404693603516,19,nan,nan,nan,nan,-331.9435449968074
10,22528,4.116373777389526,0.00029699999999999996,0.0099,0.002240302066638833,64,-74.78533172607422,15,-237.07789017319192,91.20367653379868,-80.74180604961485,69.77133918619114,-237.07789017319192
11,24576,2.6365582942962646,0.00029669999999999995,0.00989,0.00400827658813796,64,-83.67677307128906,16,nan,nan,nan,nan,-237.07789017319192
12,26624,2.4454803466796875,0.0002964,0.00988,0.004756246260512853,64,-69.22160339355469,15,nan,nan,nan,nan,-237.07789017319192
13,28672,2.5876095294952393,0.0002961,0.00987,0.0030261120191426016,64,-79.66791534423828,15,nan,nan,nan,nan,-237.07789017319192
14,30720,2.4887404441833496,0.0002958,0.00986,0.0021889876152272336,64,-94.80972290039062,16,nan,nan,nan,nan,-237.07789017319192
15,32768,2.1866402626037598,0.00029549999999999997,0.00985,0.0029038296670478303,64,-91.22724151611328,12,nan,nan,nan,nan,-237.07789017319192
16,34816,2.2205638885498047,0.00029519999999999997,0.00984,0.0026409133060951717,64,-71.18856811523438,12,nan,nan,nan,nan,-237.07789017319192
