episode,env_steps,dt_sec,loss,ep_return,ep_length,eval_det_mean,eval_det_std,eval_sto_mean,eval_sto_std,best_eval_det
0,55,0.08966779708862305,0.07968363165855408,55.0,55,9.3,0.7810249675906654,27.9,16.585837331892535,9.3
1,67,0.014182567596435547,-0.07425472140312195,12.0,12,nan,nan,nan,nan,9.3
2,82,0.01917099952697754,-0.03095621056854725,15.0,15,nan,nan,nan,nan,9.3
3,107,0.03299069404602051,-0.0760570764541626,25.0,25,nan,nan,nan,nan,9.3
4,129,0.024128437042236328,-0.28499531745910645,22.0,22,nan,nan,nan,nan,9.3
5,153,0.028614044189453125,-0.01980292797088623,24.0,24,nan,nan,nan,nan,9.3
6,162,0.010584115982055664,-0.012271404266357422,9.0,9,nan,nan,nan,nan,9.3
7,203,0.048624277114868164,0.33482182025909424,41.0,41,nan,nan,nan,nan,9.3
8,231,0.02956843376159668,-6.347894668579102e-05,28.0,28,nan,nan,nan,nan,9.3
9,247,0.015320777893066406,-0.21669185161590576,16.0,16,nan,nan,nan,nan,9.3
10,272,0.029764652252197266,0.03202676773071289,25.0,25,nan,nan,nan,nan,9.3
11,309,0.03622293472290039,0.4464304447174072,37.0,37,nan,nan,nan,nan,9.3
12,337,0.03967595100402832,1.026664137840271,28.0,28,nan,nan,nan,nan,9.3
13,356,0.02809929847717285,-0.1836281716823578,19.0,19,nan,nan,nan,nan,9.3
14,376,0.029915809631347656,-0.08111459016799927,20.0,20,nan,nan,nan,nan,9.3
15,386,0.016190528869628906,-0.10501992702484131,10.0,10,nan,nan,nan,nan,9.3
16,416,0.04521894454956055,-0.028003334999084473,30.0,30,nan,nan,nan,nan,9.3
17,431,0.024239540100097656,0.045882269740104675,15.0,15,nan,nan,nan,nan,9.3
18,444,0.019626379013061523,0.6349180936813354,13.0,13,nan,nan,nan,nan,9.3
19,456,0.018064260482788086,0.2544739544391632,12.0,12,nan,nan,nan,nan,9.3
20,493,0.052307844161987305,0.0643189549446106,37.0,37,nan,nan,nan,nan,9.3
21,513,0.028542280197143555,0.32189860939979553,20.0,20,nan,nan,nan,nan,9.3
22,546,0.04637432098388672,-0.14678841829299927,33.0,33,nan,nan,nan,nan,9.3
23,555,0.014542102813720703,0.04679512977600098,9.0,9,nan,nan,nan,nan,9.3
24,578,0.032022714614868164,-0.3596409857273102,23.0,23,nan,nan,nan,nan,9.3
25,595,0.023406982421875,-0.21618199348449707,17.0,17,64.2,27.84528685433138,23.75,12.489495586291707,64.2
26,606,0.012167692184448242,0.07370701432228088,11.0,11,nan,nan,nan,nan,64.2
27,633,0.025792837142944336,-0.12995994091033936,27.0,27,nan,nan,nan,nan,64.2
